codigo,area,habilidade
EM13LGG704,Linguagens e suas Tecnologias,"Apropriar-se criticamente de processos de pesquisa e busca de informação, por meio de ferramentas e dos novos formatos de produção e distribuição do conhecimento na cultura de rede. 490 BASE NACIONAL COMUM CURRICULAR 5.1.2. LÍNGUA PORTUGUESA Ao chegar ao Ensino Médio, os estudantes já têm condições de participar de forma significativa de diversas práticas sociais que envolvem a linguagem, pois, além de dominarem certos gêneros textuais/ discursivos que circulam nos diferentes campos de atuação social considerados no Ensino Fundamental, eles desenvolveram várias habilidades relativas aos usos das linguagens. Cabe ao Ensino Médio aprofundar a análise sobre as linguagens e seus funcionamentos, intensificando a perspectiva analítica e crítica da leitura, escuta e produção de textos verbais e multissemióticos, e alargar as referências estéticas, éticas e políticas que cercam a produção e recepção de discursos, ampliando as possibilidades de fruição, de construção e produção de conhecimentos, de compreensão crítica e intervenção na realidade e de participação social dos jovens, nos âmbitos da cidadania, do trabalho e dos estudos. Do ponto de vista das práticas contemporâneas de linguagem, ganham mais destaque, no Ensino Médio, a cultura digital, as culturas juvenis, os novos letramentos e os multiletramentos, os processos colabo rativos, as interações e atividades que têm lugar nas mídias e redes sociais, os processos de circulação de informações e a hibridização dos papéis nesse contexto (de leitor/autor e produtor/consumidor), já explorada no Ensino Fundamental. Fenômenos como a pós-verdade e o efeito bolha, em função do impacto que produzem na fidedignidade do conteúdo disponibilizado nas redes, nas interações sociais e no trato com a diversidade, também são ressaltados. Para além de continuar a promover o desenvolvimento de habilidades relativas ao trato com a informação e a opinião, no que diz respeito à veracidade e confiabilidade de informações, à adequação, validade e força dos argumentos, à articulação entre as semioses para a produção de sentidos etc., é preciso intensificar o desenvolvimento de habilidades que possibilitem o trato com o diverso e o debate de ideias. Tal desenvolvimento deve ser pautado pelo respeito, pela ética e pela rejeição aos discursos de ódio. Se, por um lado, trata-se de enfrentar e buscar minimizar os riscos que os usos atuais da rede trazem, por outro, trata-se também de explorar suas potencialidades em termos do acesso à informação, a possibilidades variadas de disponibilização de conteúdos sem e com intermediação, à diversidade de formas de interação e ao incremento da possibilidade de participação e vivência de processos colaborativos. Todos esses fatores requerem aprendizagens e desenvolvimento de habilidades que precisam ser contempladas pelos currículos. 491 LINGUAGENS E SUAS TECNOLOGIAS – LÍNGUA PORTUGUESA ENSINO MÉDIO Em relação à literatura, a leitura do texto literário, que ocupa o centro do trabalho no Ensino Fundamental, deve permanecer nuclear também no Ensino Médio. Por força de certa simplificação didática, as biografias de autores, as características de épocas, os resumos e outros gêneros artísticos substitutivos, como o cinema e as HQs 62, têm relegado o texto literário a um plano secundário do ensino. Assim, é importante não só (re)colocá-lo como ponto de partida para o trabalho com a literatura, como intensificar seu convívio com os estudantes. Como linguagem artisticamente organizada, a literatura enriquece nossa percepção e nossa visão de mundo. Mediante arranjos especiais das palavras, ela cria um universo que nos permite aumentar nossa capacidade de ver e sentir. Nesse sentido, a literatura possibilita uma ampliação da nossa visão do mundo, ajuda-nos não só a ver mais, mas a colocar em questão muito do que estamos vendo/ vivenciando. Em comparação com o Ensino Fundamental, a BNCC de Língua Portuguesa para o Ensino Médio define a progressão das aprendizagens e habilidades levando em conta: • a complexidade das práticas de linguagens e dos fenômenos sociais que repercutem nos usos da linguagem (como a pós-verdade e o efeito bolha); • a consolidação do domínio de gêneros do discurso/gêneros tex tuais já contemplados anteriormente e a ampliação do repertório de gêneros, sobretudo dos que supõem um grau maior de análise, síntese e reflexão; • o aumento da complexidade dos textos lidos e produzidos em termos de temática, estruturação sintática, vocabulário, recursos estilísticos, orquestração de vozes e semioses; • o foco maior nas habilidades envolvidas na reflexão sobre os textos e práticas (análise, avaliação, apreciação ética, estética e política, valoração, validação crítica, demonstração etc.), já que as habilidades requeridas por processos de recuperação de informação (identificação, reconhecimento, organização) e por processos de compreensão (comparação, distinção, estabelecimento de relações e inferência) já foram desenvolvidas no Ensino Fundamental; 62 É possível e desejável que se trabalhe com HQs, filmes, animações, entre outras produções, baseadas em obras literárias, incluindo análises sobre seus processos de produção e recepção. O que deve ser evitado é a simples substituição dos textos literários por essas produções. 492 BASE NACIONAL COMUM CURRICULAR • a atenção maior nas habilidades envolvidas na produção de textos multissemióticos mais analíticos, críticos, propositivos e criativos, abarcando sínteses mais complexas, produzidos em contextos que suponham apuração de fatos, curadoria de informação 63, levantamentos e pesquisas e que possam ser vinculados de forma significativa aos contextos de estudo/construção de conhecimentos em diferentes áreas, a experiências estéticas e produções da cultura digital e à discussão e proposição de ações e projetos de relevância pessoal e para a comunidade; • o incremento da consideração das práticas da cultura digital e das culturas juvenis, por meio do aprofundamento da análise de suas práticas e produções culturais em circulação, de uma maior incorporação de critérios técnicos e estéticos na análise e autoria das produções e vivências mais intensas de processos de produção colaborativos; • a ampliação de repertório, considerando a diversidade cultural, de maneira a abranger produções e formas de expressão diversas – literatura juvenil, literatura periférico-marginal, o culto, o clássico, o popular, cultura de massa, cultura das mídias, culturas juvenis etc. – e em suas múltiplas repercussões e possibilidades de apreciação, em processos que envolvem adaptações, remidiações, estilizações, paródias, HQs, minisséries, filmes, videominutos, games etc.; • a inclusão de obras da tradição literária brasileira e de suas referências ocidentais – em especial da literatura portuguesa –, assim como obras mais complexas da literatura contemporânea e das literaturas indígena, africana e latino-americana. Os eixos de integração propostos para o Ensino Médio são as práticas de linguagem consideradas no Ensino Fundamental – leitura, produção de textos, oralidade (escuta e produção oral) e análise linguística/semiótica. As dimensões, habilidades gerais e conhecimentos considerados, relacionados a essas práticas, também são os mesmos (cf. p. 72-74; 77-78; 79-80; 82-83), cabendo ao Ensino Médio, como já destacado, sua consolidação e complexificação e a ênfase nas habilidades relativas à análise, síntese, compreensão dos efeitos de sentidos e apreciação e réplica (posicionar-se de maneira responsável em relação a temas e efeitos de sentido dos textos; fazer apreciações éticas, estéticas e políticas de textos e produções artísticas e culturais etc.). 63 A curadoria de informação envolve processos mais apurados de seleção e filtragem de informações, o que pode requerer procedimentos de checagem e validação, comparações, análises etc. Pode envolver também organização, categorização e reedição de informações. 493 LINGUAGENS E SUAS TECNOLOGIAS – LÍNGUA PORTUGUESA ENSINO MÉDIO Uma vez que muitas habilidades já foram desenvolvidas e um grau de autonomia relativo às práticas de linguagem consideradas já foi alcançado, as habilidades passam a ser apresentadas no Ensino Médio de um jeito próximo ao requerido pelas práticas sociais, muitas vezes misturando, ao mesmo tempo, escuta, tomada de nota, leitura e fala. Diferentemente do Ensino Fundamental, para o Ensino Médio não há indicação de anos na apresentação das habilidades, não só em função da natureza mais flexível do currículo para esse nível de ensino, mas também, como já referido, do grau de autonomia dos estudantes, que se supõe alcançado. Essa proposta não mais impõe restrições e necessidades de estabelecimento de sequências (que já são flexíveis no Ensino Fundamental), podendo cada rede de ensino e escola organizar localmente as sequências e simultaneidades, considerados os critérios gerais de organização apresentados depois de cada campo de atuação. Os campos de atuação social propostos para contextualizar as práticas de linguagem no Ensino Médio em Língua Portuguesa correspondem aos mesmos considerados pela área. Além disso, estão em relação com os campos propostos nesse componente nas duas fases do Ensino Fundamental: ENSINO FUNDAMENTAL ENSINO MÉDIO ANOS INICIAIS ANOS FINAIS Campo da vida cotidiana Campo da vida pessoal Campo artístico-literário Campo artístico-literário Campo artístico-literário Campo das práticas de estudo e pesquisa Campo das práticas de estudo e pesquisa Campo das práticas de estudo e pesquisa Campo da vida pública Campo jornalístico-midiático Campo jornalístico-midiático Campo de atuação na vida pública Campo de atuação na vida pública 494 BASE NACIONAL COMUM CURRICULAR O campo da vida pessoal pretende funcionar como espaço de articulações e sínteses das aprendizagens de outros campos postas a serviço dos projetos de vida dos estudantes. As práticas de linguagem privilegiadas nesse campo relacionam-se com a ampliação do saber sobre si, tendo em vista as condições que cercam a vida contemporânea e as condições juvenis no Brasil e no mundo. Está em questão também possibilitar vivências significativas de práticas colaborativas em situações de interação presenciais ou em ambientes digitais e aprender, na articulação com outras áreas, campos e com os projetos e escolhas pessoais dos jovens, procedimentos de levantamento, tratamento e divulgação de dados e informações e o uso desses dados em produções diversas e na proposição de ações e projetos de natureza variada, para fomentar o protagonismo juvenil de forma contextualizada. No cerne do campo de atuação na vida pública estão a ampliação da participação em diferentes instâncias da vida pública, a defesa dos direitos, o domínio básico de textos legais e a discussão e o debate de ideias, propostas e projetos. No Ensino Médio, ganham destaque as condições de produção dos textos legais, sócio e historicamente situados e, em última instância, baseados nas experiências humanas, formulados com vistas à paz social. A discussão sobre o Estatuto da Juventude e seu cumprimento e a análise e produção coletiva de projetos de lei também são postos em evidência. Análises de campanhas e programas políticos e de políticas públicas, bem como de estratégias de acompanhamento do exercício do mandato de governantes, também são consideradas em algumas das habilidades propostas. Ainda no domínio das ênfases, indica-se um conjunto de habilidades que se relacionam com a análise, discussão, elaboração e desenvolvimento de propostas de ação e de projetos culturais e de intervenção social. Em relação ao campo jornalístico-midiático, espera-se que os jovens que chegam ao Ensino Médio sejam capazes de: compreender os fatos e circunstâncias principais relatados; perceber a impossibilidade de neutralidade absoluta no relato de fatos; adotar procedimentos básicos de checagem de veracidade de informação; identificar diferentes pontos de vista diante de questões polêmicas de relevância social; avaliar argumentos utilizados e posicionar-se em relação a eles de forma ética; identificar e denunciar discursos de ódio e que envolvam desrespeito aos Direitos Humanos; e produzir textos jornalísticos variados, tendo em vista seus contextos de produção e características 495 LINGUAGENS E SUAS TECNOLOGIAS – LÍNGUA PORTUGUESA ENSINO MÉDIO dos gêneros. Eles também devem ter condições de analisar estratégias linguístico-discursivas utilizadas pelos textos publicitários e de refletir sobre necessidades e condições de consumo. No Ensino Médio, os jovens precisam aprofundar a análise dos interesses que movem o campo jornalístico midiático, da relação entre informação e opinião, com destaque para o fenômeno da pós-verdade, consolidar o desenvolvimento de habilidades, apropriar-se de mais procedimentos envolvidos na curadoria de informações, ampliar o contato com projetos editoriais independentes e tomar consciência de que uma mídia independente e plural é condição indispensável para a democracia. Como já destacado, as práticas que têm lugar nas redes sociais têm tratamento ampliado. Além dos gêneros propostos para o Ensino Fundamental, são privilegiados gêneros mais complexos relacionados com a apuração e o relato de fatos e situações (reportagem multimidiática, documentário etc.) e com a opinião (crítica da mídia, ensaio, vlog de opinião etc.). Textos, vídeos e podcasts diversos de apreciação de produções culturais também são propostos, a exemplo do que acontece no Ensino Fundamental, mas com análises mais consistentes, tendo em vista a intensificação da análise crítica do funcionamento das diferentes semioses. No campo artístico-literário busca-se a ampliação do contato e a análise mais fundamentada de manifestações culturais e artísticas em geral. Está em jogo a continuidade da formação do leitor literário e do desenvolvimento da fruição. A análise contextualizada de produções artísticas e dos textos literários, com destaque para os clássicos, intensifica-se no Ensino Médio. Gêneros e formas diversas de produções vinculadas à apreciação de obras artísticas e produções culturais (resenhas, vlogs e podcasts literários, culturais etc.) ou a formas de apropriação do texto literário, de produções cinematográficas e teatrais e de outras manifestações artísticas (remidiações, paródias, estilizações, videominutos, fanfics etc.) continuam a ser considerados associados a habilidades técnicas e estéticas mais refinadas. A escrita literária, por sua vez, ainda que não seja o foco central do componente de Língua Portuguesa, também se mostra rica em possibilidades expressivas. Já exercitada no Ensino Fundamental, pode ser ampliada e aprofundada no Ensino Médio, aproveitando o interesse de muitos jovens por manifestações esteticamente organizadas comuns às culturas juvenis. O que está em questão nesse tipo de escrita não é informar, ensinar ou simplesmente comunicar. O exercício literário inclui também a 496 BASE NACIONAL COMUM CURRICULAR função de produzir certos níveis de reconhecimento, empatia e solidariedade e envolve reinventar, questionar e descobrir-se. Sendo assim, ele é uma função importante em termos de elaboração da subjetividade e das inter-relações pessoais. Nesse sentido, o desenvolvimento de textos construídos esteticamente – no âmbito dos mais diferentes gêneros – pode propiciar a exploração de emoções, sentimentos e ideias, que não encontram lugar em outros gêneros não literários e que, por isso, deve ser explorado. O campo das práticas de estudo e pesquisa mantém destaque para os gêneros e habilidades envolvidos na leitura/escuta e produção de textos de diferentes áreas do conhecimento e para as habilidades e procedimentos envolvidos no estudo. Ganham realce também as habilidades relacionadas à análise, síntese, reflexão, problematização e pesquisa: estabelecimento de recorte da questão ou problema; seleção de informações; estabelecimento das condições de coleta de dados para a realização de levantamentos; realização de pesquisas de diferentes tipos; tratamento dos dados e informações; e formas de uso e socialização dos resultados e análises. Além de fazer uso competente da língua e das outras semioses, os estudantes devem ter uma atitude investigativa e criativa em relação a elas e compreender princípios e procedimentos metodológicos que orientam a produção do conhecimento sobre a língua e as linguagens e a formulação de regras. As habilidades de Língua Portuguesa estão organizadas nesses cinco campos de atuação social. Além disso, ainda que uma mesma habilidade possa estar a serviço de mais de uma competência específica da área de Linguagens e suas Tecnologias, indica(m)-se aquela(s) com a(s) qual(is) cada habilidade tem maior afinidade. 497 LINGUAGENS E SUAS TECNOLOGIAS – LÍNGUA PORTUGUESA ENSINO MÉDIO 5.1.2.1. LÍNGUA PORTUGUESA NO ENSINO MÉDIO: CAMPOS DE ATUAÇÃO SOCIAL,."
EM13LP01,Língua Portuguesa,"Relacionar o texto, tanto na produção como na recepção, com suas condições de produção e seu contexto sócio-histórico de circulação (leitor previsto, objetivos, pontos de vista e perspectivas, papel social do autor, época, gênero do discurso etc.). 2."
EM13LP02,Língua Portuguesa,"Estabelecer relações entre as partes do texto, tanto na produção como na recepção, considerando a construção composicional e o estilo do gênero, usando/reconhecendo adequadamente elementos e recursos coesivos diversos que contribuam para a coerência, a continuidade do texto e sua progressão temática, e organizando informações, tendo em vista as condições de produção e as relações lógico-discursivas envolvidas (causa/efeito ou consequência; tese/argumentos; problema/solução; definição/exemplos etc.). 1."
EM13LP03,Língua Portuguesa,"Analisar relações de intertextualidade e interdiscursividade que permitam a explicitação de relações dialógicas, a identificação de posicionamentos ou de perspectivas, a compreensão de paródias e estilizações, entre outras possibilidades. 1."
EM13LP04,Língua Portuguesa,"Estabelecer relações de interdiscursividade e intertextualidade para explicitar, sustentar e qualificar posicionamentos e para construir e referendar explicações e relatos, fazendo uso de citações e paráfrases devidamente marcadas. 1."
EM13LP05,Língua Portuguesa,"Analisar, em textos argumentativos, os posicionamentos assumidos, os movimentos argumentativos e os argumentos utilizados para sustentá-los, para avaliar sua força e eficácia, e posicionar-se diante da questão discutida e/ou dos argumentos utilizados, recorrendo aos mecanismos linguísticos necessários. 3."
EM13LP06,Língua Portuguesa,"Analisar efeitos de sentido decorrentes de usos expressivos da linguagem, da escolha de determinadas palavras ou expressões e da ordenação, combinação e contraposição de palavras, dentre outros, para ampliar as possibilidades de construção de sentidos e de uso crítico da língua. 1 499 LINGUAGENS E SUAS TECNOLOGIAS – LÍNGUA PORTUGUESA ENSINO MÉDIO TODOS OS CAMPOS DE ATUAÇÃO SOCIAL PRÁTICAS Leitura, escuta, produção de textos (orais, escritos, multissemióticos) e análise linguística/semiótica Habilidades Competências específicas."
EM13LP07,Língua Portuguesa,"Analisar, em textos de diferentes gêneros, marcas que expressam a posição do enunciador frente àquilo que é dito: uso de diferentes modalidades (epistêmica, deôntica e apreciativa) e de diferentes recursos gramaticais que operam como modalizadores (verbos modais, tempos e modos verbais, expressões modais, adjetivos, locuções ou orações adjetivas, advérbios, locuções ou orações adverbiais, entonação etc.), uso de estratégias de impessoalização (uso de terceira pessoa e de voz passiva etc.), com vistas ao incremento da compreensão e da criticidade e ao manejo adequado desses elementos nos textos produzidos, considerando os contextos de produção. 1."
EM13LP08,Língua Portuguesa,"Analisar elementos e aspectos da sintaxe do Português, como a ordem dos constituintes da sentença (e os efeito que causam sua inversão), a estrutura dos sintagmas, as categorias sintáticas, os processos de coordenação e subordinação (e os efeitos de seus usos) e a sintaxe de concordância e de regência, de modo a potencializar os processos de compreensão e produção de textos e a possibilitar escolhas adequadas à situação comunicativa. 1."
EM13LP09,Língua Portuguesa,"Fazer curadoria de informações, tendo em vista diferentes propósitos e projetos discursivos. 7."
EM13LP10,Língua Portuguesa,"Selecionar informações, dados e argumentos em fontes confiáveis, impressas e digitais, e utilizá-los de forma referenciada, para que o texto a ser produzido tenha um nível de aprofundamento adequado (para além do senso comum) e contemple a sustentação das posições defendidas. 1, 7."
EM13LP11,Língua Portuguesa,"Analisar efeitos de sentido decorrentes de escolhas de elementos sonoros (volume, timbre, intensidade, pausas, ritmo, efeitos sonoros, sincronização etc.) e de suas relações com o verbal, levando em conta esses efeitos na produção de áudios, para ampliar as possibilidades de construção de sentidos e de apreciação. 1."
EM13LP12,Língua Portuguesa,"Analisar efeitos de sentido decorrentes de escolhas e formatação das imagens (enquadramento, ângulo/vetor, cor, brilho, contraste) e de sua sequenciação (disposição e transição, movimentos de câmera, remix), das performances (movimentos do corpo, gestos, ocupação do espaço cênico), dos elementos sonoros (entonação, trilha sonora, sampleamento etc.) e das relações desses elementos com o verbal, levando em conta esses efeitos nas produções de imagens e vídeos, para ampliar as possibilidades de construção de sentidos e de apreciação. 1 500 BASE NACIONAL COMUM CURRICULAR TODOS OS CAMPOS DE ATUAÇÃO SOCIAL PRÁTICAS Leitura, escuta, produção de textos (orais, escritos, multissemióticos) e análise linguística/semiótica Habilidades Competências específicas."
EM13LP13,Língua Portuguesa,"Planejar, produzir, revisar, editar, reescrever e avaliar textos escritos e multissemióticos, considerando sua adequação às condições de produção do texto, no que diz respeito ao lugar social a ser assumido e à imagem que se pretende passar a respeito de si mesmo, ao leitor pretendido, ao veículo e mídia em que o texto ou produção cultural vai circular, ao contexto imediato e sócio-histórico mais geral, ao gênero textual em questão e suas regularidades, à variedade linguística apropriada a esse contexto e ao uso do conhecimento dos aspectos notacionais (ortografia padrão, pontuação adequada, mecanismos de concordância nominal e verbal, regência verbal etc.), sempre que o contexto o exigir. 1, 3."
EM13LP14,Língua Portuguesa,"Produzir e analisar textos orais, considerando sua adequação aos contextos de produção, à forma composicional e ao estilo do gênero em questão, à clareza, à progressão temática e à variedade linguística empregada, como também aos elementos relacionados à fala (modulação de voz, entonação, ritmo, altura e intensidade, respiração etc.) e à cinestesia (postura corporal, movimentos e gestualidade significativa, expressão facial, contato de olho com plateia etc.). 1, 4."
EM13LP15,Língua Portuguesa,"Elaborar roteiros para a produção de vídeos variados (vlog, videoclipe, videominuto, documentário etc.), apresentações teatrais, narrativas multimídia e transmídia, podcasts, playlists comentadas etc., para ampliar as possibilidades de produção de sentidos e engajar-se de forma reflexiva em práticas autorais e coletivas. 3, 7."
EM13LP16,Língua Portuguesa,"Utilizar softwares de edição de textos, fotos, vídeos e áudio, além de ferramentas e ambientes colaborativos para criar textos e produções multissemióticas com finalidades diversas, explorando os recursos e efeitos disponíveis e apropriando-se de práticas colaborativas de escrita, de construção coletiva do conhecimento e de desenvolvimento de projetos. 7."
EM13LP17,Língua Portuguesa,"Analisar o fenômeno da variação linguística, em seus diferentes níveis (variação fonético-fonológica, lexical, sintática, semântica e estilístico-pragmática) e em suas diferentes dimensões (regional, histórica, social, situacional, ocupacional, etária etc.), de forma a ampliar a compreensão sobre a natureza viva e dinâmica da língua e sobre o fenômeno da constituição de variedades linguísticas de prestígio e estigmatizadas, e a fundamentar o respeito às variedades linguísticas e o combate a preconceitos linguísticos. 4 501 LINGUAGENS E SUAS TECNOLOGIAS – LÍNGUA PORTUGUESA ENSINO MÉDIO CAMPO DA VIDA PESSOAL Para além das habilidades indicadas a seguir, outras devem ser consideradas também em relação a este campo. São elas as relativas: a ações mencionadas no escopo desse campo na apresentação da área e à realização de debates e discussões de temas de interesse dos jovens; à elaboração de propostas de ações e de projetos culturais e de intervenção; à análise situada da legislação; e ao levantamento de dados de diferentes naturezas. Todas estão descritas nos campos de atuação na vida pública e das práticas de estudo e pesquisa. Assim, na análise situada de textos legais, o Estatuto da Juventude deve ter destaque, com base no contexto social e histórico (brasileiro e latino-americano) de sua promulgação. Além disso: na discussão de ações e políticas públicas, devem ser privilegiadas políticas públicas para a juventude; os fóruns de discussão, debates e palestras devem contemplar a condição juvenil, como também temas de preocupações e curiosidades dos jovens; a produção de textos reivindicatórios pode incluir eventuais demandas por equipamentos e programações culturais, de espaços de lazer e de práticas das culturas corporais. Além dos já mencionados, ganha destaque o domínio de gêneros e produções como perfis, apresentações pessoais, relatos autobiográficos, mapas (e outras formas de registro) comentados e dinâmicos, almanaques, playlists comentadas de produções culturais diversas, fanzines, e-zines (esses três últimos também considerados na esfera artístico-literária), entre outras possibilidades. Parâmetros para a organização/progressão curricular • Garantir espaço, ao longo dos três anos, para que os estudantes possam: » saber sobre a condição juvenil e sobre as representações sobre jovens e juventudes; discutir sobre temáticas vinculadas a questões que os preocupam ou instigam sua curiosidade, privilegiando as que tiverem maior repercussão entre os estudantes; » saber sobre si, com foco na retomada da trajetória de formação (aprendizagens mais significativas, dentro e fora da escola, interesses, potências e necessidades), dos modos privilegiados de expressão etc.; » partilhar gostos e interesses, de forma a oportunizar vivências, situações de partilha (e de trato com o diferente), promoções de eventos ou projetos culturais, análises e/ou proposições de ações de políticas públicas culturais, projetos de intervenção social, entre outras possibilidades; » levantar dados, informações e discussões sobre profissões e ocupações contemporâneas de interesse dos estudantes e, em especial, de profissões que atuam na área de linguagens (docência, tutoria, produção/edição de objetos digitais de aprendizagem, de materiais didáticos, mediação cultural etc.). 502 BASE NACIONAL COMUM CURRICULAR • Promover, ao longo dos três anos, trato e vivência com produções culturais e artísticas cujo interesse e gosto se mostrem constituídos, como também experimentação de novas possibilidades. • Garantir que diferentes gêneros e formas de expressão das culturas juvenis tenham lugar ao longo dos anos. • Prever o trato qualificado com diferentes semioses, ferramentas e ambientes digitais – editores de áudio, vídeo, foto e gráfico, wiki, ferramenta de gif, de linha do tempo, agregador de conteúdo etc. CAMPO DA VIDA PESSOAL PRÁTICAS Leitura, escuta, produção de textos (orais, escritos, multissemióticos) e análise linguística/semiótica Habilidades Competências específicas."
EM13LP18,Língua Portuguesa,"Apresentar-se por meio de textos multimodais diversos (perfis variados, gifs biográficos, biodata, currículo web, videocurrículo etc.) e de ferramentas digitais (ferramenta de gif, wiki, site etc.), para falar de si de formas variadas, considerando diferentes situações e objetivos. 3."
EM13LP19,Língua Portuguesa,"Compartilhar gostos, interesses, práticas culturais, temas/ problemas/questões que despertam maior interesse ou preocupação, respeitando e valorizando diferenças, como forma de identificar afinidades e interesses comuns, como também de organizar e/ou participar de grupos, clubes, oficinas e afins. 2, 3."
