código,etapa,ano_ou_faixa,campo_experiência,componente,número,habilidade,unidade_tematica,objeto_conhecimento,em_foco,mf_classificacao,mf_conhecimento_previo,mf_objetivos,mf_competencias,mf_habilidades_relacionadas,mf_comentarios
EF01CI01,Ensino Fundamental,01,,Ciências,01,"Comparar características de diferentes materiais presentes em objetos de uso cotidiano, discutindo sua origem, os modos como são descartados e como podem ser usados de forma mais consciente.",Matéria e energia,Características dos materiais,sim,AF,,"• Reconhecer a utilidade dos objetos para a realização de atividades da vida cotidiana.
• Relacionar as características dos objetos com sua utilização.
• Comparar os objetos por meio da análise dos materiais de que são feitos.
• Identificar formas adequadas de descarte de diferentes objetos.
• Discutir os riscos, para a saúde e para o ambiente, do descarte inadequado de objetos.","CE: 5 e 8
CG: 2 e 10",,"O tema está alinhado ao Objetivo de Desenvolvimento Sustentável (ODS) 12, sobre consumo e produção sustentáveis. Comparar está relacionado a compreender fatos e classificações. Para desenvolver essa habilidade, podem-se usar estratégias para que os estudantes observem e manipulem diferentes objetos do cotidiano, identificando algumas características dos materiais que o compõem e se podem ou não ser reciclados ou reutilizados."
EF01CI02,Ensino Fundamental,01,,Ciências,02,"Localizar, nomear e representar graficamente (por meio de desenhos) partes do corpo humano e explicar suas funções.",Vida e evolução,Respeito à diversidade,sim,AF,,"• Desenhar e nomear partes do corpo humano.
• Explicar a função das partes do corpo representadas em desenhos.
• Identificar as funções de diferentes estruturas do corpo humano (olhos, mãos, pés etc.).","CE: 6 e 7
CG: 2 e 8",,"A observação, a classificação e o registro são procedimentos muito utilizados em Ciências da Natureza. Por isso, é importante detalhar habilidades relativas à investigação. Isso pode ser feito pela construção de um modelo ilustrado ou tridimensional pelo estudante, identificando as partes do corpo e suas respectivas funções, ou pelo reconhecimento do corpo em outros modelos, como bonecos, pinturas e fotografias."
EF01CI03,Ensino Fundamental,01,,Ciências,03,"Discutir as razões pelas quais os hábitos de higiene do corpo (lavar as mãos antes de comer, escovar os dentes, limpar os olhos, o nariz e as orelhas etc.) são necessários para a manutenção da saúde.",Vida e evolução,Respeito à diversidade,sim,AF,EF01CI02,"• Identificar e listar os hábitos de higiene do corpo.
• Reconhecer a importância de hábitos diários de higiene do corpo humano para a manutenção da saúde.
• Valorizar o autocuidado por meio de hábitos de higiene.","CE: 7
CG: 2 e 8",EF01CI04,"Tema relacionado ao ODS 3, que promove a boa saúde e o bem-estar. Discutir, nesse caso, significa estabelecer relações entre a prevenção de contágio ou de proliferação de doenças e os hábitos de cuidados individuais. É importante relacioná-los com a proteção contra doenças causadas por microorganismos, como a cárie, ou a interrupção de patologias contagiosas, como a gripe e associá-los a atividades do cotidiano, como andar calçado e comer alimentos higienizados."
EF01CI04,Ensino Fundamental,01,,Ciências,04,"Comparar características físicas entre os colegas, reconhecendo a diversidade e a importância da valorização, do acolhimento e do respeito às diferenças.",Vida e evolução,Respeito à diversidade,,,,,,,
EF01CI05,Ensino Fundamental,01,,Ciências,05,"Identificar e nomear diferentes escalas de tempo: os períodos diários (manhã, tarde, noite) e a sucessão de dias, semanas, meses e anos.",Terra e Universo,Escalas de tempo,sim,AF,,"• Relatar atividades diárias e relacioná-las com diferentes períodos do dia.
• Identificar dias, semanas e meses no calendário.
• Elaborar rotina de atividades escolares diárias e semanais.","CE: 2
CG: 1 e 3",EF01CI06,"Para essa habilidade, é importante que os estudantes exercitem a observação, a exemplificação e o relato de características observáveis dos períodos diários. O relato pode ser feito por meio de pequenas descrições orais ou desenhos, principalmente considerando a etapa de alfabetização em que se encontra a turma. Elaborar uma rotina de atividades diárias pode ajudar o estudante a reconhecer e demonstrar as marcações de tempo estabelecidas pela humanidade, como calendários e horários."
EF01CI06,Ensino Fundamental,01,,Ciências,06,Selecionar exemplos de como a sucessão de dias e noites orienta o ritmo de atividades diárias de seres humanos e de outros seres vivos.,Terra e Universo,Escalas de tempo,,,,,,,
EF01ER01,Ensino Fundamental,01,,Ensino Religioso,01,"Identificar e acolher as semelhanças e diferenças entre o eu, o outro e o nós.",Identidades e alteridades,"O eu, o outro e o nós",,,,,,,
EF01ER02,Ensino Fundamental,01,,Ensino Religioso,02,Reconhecer que o seu nome e o das demais pessoas os identificam e os diferenciam.,Identidades e alteridades,"O eu, o outro e o nós",,,,,,,
EF01ER03,Ensino Fundamental,01,,Ensino Religioso,03,Reconhecer e respeitar as características físicas e subjetivas de cada um.,Identidades e alteridades,Imanência e transcendência,,,,,,,
EF01ER04,Ensino Fundamental,01,,Ensino Religioso,04,Valorizar a diversidade de formas de vida.,Identidades e alteridades,Imanência e transcendência,,,,,,,
EF01ER05,Ensino Fundamental,01,,Ensino Religioso,05,"Identificar e acolher sentimentos, lembranças, memórias e saberes de cada um.",Manifestações religiosas,"Sentimentos, lembranças, memórias e saberes",,,,,,,
EF01ER06,Ensino Fundamental,01,,Ensino Religioso,06,"Identificar as diferentes formas pelas quais as pessoas manifestam sentimentos, ideias, memórias, gostos e crenças em diferentes espaços.",Manifestações religiosas,"Sentimentos, lembranças, memórias e saberes",,,,,,,
EF01GE01,Ensino Fundamental,01,,Geografia,01,"Descrever características observadas de seus lugares de vivência (moradia, escola etc.) e identificar semelhanças e diferenças entre esses lugares.",O sujeito e seu lugar no mundo,O modo de vida das crianças em diferentes lugares,sim,AF,"EI03EF01, EI03EO04 e EI03EO06","• Reconhecer elementos da paisagem nos lugares de vivência, identificando semelhanças e diferenças entre eles.
• Distinguir cômodos da moradia e/ou das dependências da escola, descrevendo suas características e usos.
• Indicar locais de trabalho e atuação de diferentes profissionais nos lugares de vivência.
• Comparar diversos tipos de moradia, descrevendo suas características e os materiais utilizados em sua contrução.
• Comparar características de parques, praças e demais espaços de lazer nos seus lugares de vivência.","CG: 1 e 2
CA: 3 e 7
CE: 1 e 3","AC:
EF01GE03: pode ser desenvolvida junto à AF.
EF01GE06: pode ser desenvolvida junto à AF.
EF01GE07: pode ser desenvolvida junto à AF.
AF:
EF01GE09: pode ser desenvolvida junto à AF.
EF01HI02: amplia o conhecimento da AF.","O desenvolvimento dessa habilidade possibilita que o estudante comece a reconhecer aspectos do espaço geográfico com base na noção de lugar, dimensão do cotidiano em que são construídas relações de afetividade e pertencimento. Torna-se importante desenvolver atividades que permitam abordar princípios do raciocínio geográfico como analogia e diferenciação, tomando como referência a observação e a descrição da paisagem e da organização de seus espaços de vivência como a moradia, a escola, a rua, o bairro, os espaços públicos de lazer, entre outros. Ao longo dos Anos Iniciais, o trabalho com as noções de lugar e paisagem contribui para a construção progressiva de outras noções de cidadania e sociabilidade. Ao se observar os lugares de vivência e as relações sociais neles estabelecidas, pode-se refletir sobre as formas de convívio de diversos grupos sociais e sobre a responsabilidade individual e, principalmente, coletiva de sua conservação.
Pode ser desenvolvido um trabalho conjunto com o componente História (ver habilidade EF01HI02)."
EF01GE02,Ensino Fundamental,01,,Geografia,02,Identificar semelhanças e diferenças entre jogos e brincadeiras de diferentes épocas e lugares.,O sujeito e seu lugar no mundo,O modo de vida das crianças em diferentes lugares,sim,AF,"EI03ET01, EI03EF02 e EI03ET05","• Comparar jogos e brincadeiras realizados em diferentes tempos e locais.
• Comparar brinquedos utilizados em diferentes épocas, considerando técnicas e materiais usados em sua confecção.
• Identificar diferentes locais em que brincadeiras podem ser praticadas (como dentro e fora da moradia).","CG: 1 e 2
CA: 3, 5 e 7
CE: 3","AC:
EF01GE06: pode ser desenvolvida junto à AF.
AF:
EF01GE08: pode ser desenvolvida junto à AF.
EF01GE09: pode ser desenvolvida junto à AF.
EF01HI05: pode ser desenvolvida junto à AF.","Essa habilidade tem conexão interdisciplinar com o componente História no sentido de desenvolver a habilidade EF01HI05, que também prevê que o estudante identifique semelhanças e diferenças entre jogos e brincadeiras atuais e de outras épocas e lugares. Ela permite que se reconheça o brincar, como direito fundamental das crianças, e que o aluno aborde princípios do raciocínio geográfico como analogia e diferenciação, a partir da identificação de diferentes espacialidades e temporalidades relacionadas a jogos e brincadeiras, manifestações culturais tão significativas para crianças de todo o mundo. Ao se trabalhar características de brinquedos e jogos físicos, também pode-se realizar um trabalho interdisciplinar com Ciências, tendo em vista a habilidade EF01CI01, em que se prevê que o aluno reconheça características de diferentes materiais presentes em objetos de uso cotidiano, conversando sobre sua origem, os modos como são descartados e como podem ser usados de forma mais consciente."
EF01GE03,Ensino Fundamental,01,,Geografia,03,"Identificar e relatar semelhanças e diferenças de usos do espaço público (praças, parques) para o lazer e diferentes manifestações.",O sujeito e seu lugar no mundo,Situações de convívio em diferentes lugares,,,,,,,
EF01GE04,Ensino Fundamental,01,,Geografia,04,"Discutir e elaborar, coletivamente, regras de convívio em diferentes espaços (sala de aula, escola etc.).",O sujeito e seu lugar no mundo,Situações de convívio em diferentes lugares,,,,,,,
EF01GE05,Ensino Fundamental,01,,Geografia,05,"Observar e descrever ritmos naturais (dia e noite, variação de temperatura e umidade etc.) em diferentes escalas espaciais e temporais, comparando a sua realidade com outras.",Conexões e escalas,Ciclos naturais e a vida cotidiana,sim,AF,"EI03ET03, EI03EF01, EI03EO04 e EI03EO06","• Distinguir características de uma mesma paisagem de dia e de noite.
• Reconhecer diferentes características do tempo atmosférico no lugar de vivência por meio da comparação com outras localidades ou  épocas do ano.
• Elaborar símbolos para representar características do tempo atmosférico.
• Relacionar diferentes condições do tempo atmosférico com os hábitos alimentares e o modo de vestir.
• Identificar materiais das roupas utilizadas em diferentes condições de tempo atmosférico.","CG: 1 e 2
CA: 3, 5 e 7
CE: 1 e 3","AC:
EF01GE06: pode ser desenvolvida junto à AF.
EF01GE10: pode ser desenvolvida junto à AF.
EF01GE11: pode ser desenvolvida junto à AF.
AF:
EF01GE08: pode ser desenvolvida junto à AF.","Considerando o princípio da analogia, essa habilidade possibilita que o estudante observe diferentes fenômenos e ciclos naturais no seu lugar de vivência comparando com épocas distintas nesse mesmo lugar ou com outras localidades (sincronicamente).  Ao se atentar às condições atmosféricas, o estudante pode estabelecer relações entre o tempo atmosférico com o uso de diferentes roupas (percebendo as características enquanto objetos) e reconhecendo as que mais costuma vestir ao longo das diferentes épocas do ano. Pode-se propor atividades nas quais tenha que contrastar a realidade do lugar de viver com condições de tempo atmosférico rigorosas existentes em outras localidades (local muito quente, muito frio, muito úmido, muito seco, com muito vento), atentando que as adaptações a essas condições dependem de boas condições socioeconômicas ou de infraestrutura. Importa também que o estudante estabeleça correlações entre ritmos da natureza, condições atmosféricas e hábitos de alimentação, podendo identificar alimentos que costuma comer em diferentes épocas do ano (como frutas sazonais e comidas frias e quentes, mais ou menos calóricas). Essa habilidade permite aproximação com o tema contemporâneo transversal educação alimentar e nutricional."
EF01GE06,Ensino Fundamental,01,,Geografia,06,"Descrever e comparar diferentes tipos de moradia ou objetos de uso cotidiano (brinquedos, roupas, mobiliários), considerando técnicas e materiais utilizados em sua produção.",Mundo do trabalho,Diferentes tipos de trabalho existentes no seu dia a dia,,,,,,,
EF01GE07,Ensino Fundamental,01,,Geografia,07,Descrever atividades de trabalho relacionadas com o dia a dia da sua comunidade.,Mundo do trabalho,Diferentes tipos de trabalho existentes no seu dia a dia,,,,,,,
EF01GE08,Ensino Fundamental,01,,Geografia,08,"Criar mapas mentais e desenhos com base em itinerários, contos literários, histórias inventadas e brincadeiras.",Formas de representação e pensamento espacial,Pontos de referência,sim,AF/AC,EI03EF01 e EI03EF06,"• Representar trajetos do dia a dia por meio de mapa mental.
• Representar brinquedos, brincadeiras e lugares de brincar favoritos por meio de desenhos.
• Representar atividades de trabalho, tipos de moradia e/ou ritmos da natureza por meio de desenho inspirado em contos literários, poemas, canções e histórias inventadas.","CG: 1 e 4
CA: 7
CE: 3 e 4","AF:
EF01GE01: pode ser desenvolvida junto à AF.
EF01GE02: pode ser desenvolvida junto à AF.
EF01GE05: pode ser desenvolvida junto à AF.","Essa habilidade está relacionada ao início do processo  de alfabetização cartográfica. Progressivamente, o estudante ao longo dos anos do Ensino Fundamental vai desenvolver atividades de interpretação e elaboração de diferentes formas de representar realidades espaciais. Nessa habilidade, prevê-se procedimentos de desenvolvimento do pensamento espacial a partir de representações espaciais dos lugares de vivência, assim como de outras elaboradas com base em referências espaciais imaginárias e lúdicas. É possível propor atividades que exijam elaborar mapas mentais nos quais se registrem diferentes trajetos cotidianos dentro da escola ou no seu entorno (como o trajeto moradia-escola). Também se pode solicitar a elaboração de desenhos representando objetos do dia a dia, podendo dar início às ideias de diferenciar escalas (tamanho real x tamanho reduzido) e distâncias."
EF01GE09,Ensino Fundamental,01,,Geografia,09,"Elaborar e utilizar mapas simples para localizar elementos do local de vivência, considerando referenciais espaciais (frente e atrás, esquerda e direita, em cima e embaixo, dentro e fora) e tendo o corpo como referência.",Formas de representação e pensamento espacial,Pontos de referência,sim,AF/AC,"EI03EF01, EI03EF06 e EI03CG02","• Interpretar e elaborar representações que indiquem o posicionamento (frente e atrás, esquerda e direita, em cima e embaixo, dentro e fora) de objetos cotidianos usados tendo o próprio corpo como referência.
• Representar elementos da paisagem no entorno da moradia e da escola, aplicando referências espaciais em relação ao posicionamento desses elementos tendo o corpo como referência.
• Elaborar e utilizar mapas simples para representar posicionamento de objetos e pessoas em jogos e brincadeiras, tendo o corpo como referência.","CG: 1 e 4
CA: 7
CE: 3 e 4","AF:
EF01GE01: pode ser desenvolvida junto à AF.
EF01GE02: pode ser desenvolvida junto à AF.","Essa habilidade, relacionada à alfabetização cartográfica, pressupõe a realização de um trabalho com lateralidade e noções topológicas (frente e atrás, esquerda e direita, em cima e embaixo, dentro e fora). Esses conceitos devem ser desenvolvidos progressivamente antes de o estudante operar noções espaciais projetivas e euclidianas, fundamentais para a leitura e interpretação de mapas (previsto pra ocorrer de maneira mais direta a partir do 4º ano do EFI). Para tanto, é importante propor atividades de orientação e localização espacial que tenham como referência o próprio corpo do aluno e, principalmente, a sua relação com objetos, lugares e pessoas. Podem-se desenvolver essas noções topológicas e espaciais com jogos e brincadeiras em grupo."
EF01GE10,Ensino Fundamental,01,,Geografia,10,"Descrever características de seus lugares de vivência relacionadas aos ritmos da natureza (chuva, vento, calor etc.).","Natureza, ambientes e qualidade de vida",Condições de vida nos lugares de vivência,,,,,,,
EF01GE11,Ensino Fundamental,01,,Geografia,11,"Associar mudanças de vestuário e hábitos alimentares em sua comunidade ao longo do ano, decorrentes da variação de temperatura e umidade no ambiente.","Natureza, ambientes e qualidade de vida",Condições de vida nos lugares de vivência,,,,,,,
EF01HI01,Ensino Fundamental,01,,História,01,Identificar aspectos do seu crescimento por meio do registro das lembranças particulares ou de lembranças dos membros de sua família e/ou de sua comunidade.,Mundo pessoal: meu lugar no mundo,"As fases da vida e a ideia de temporalidade (passado, presente, futuro)",,,,,,,
EF01HI02,Ensino Fundamental,01,,História,02,Identificar a relação entre as suas histórias e as histórias de sua família e de sua comunidade.,Mundo pessoal: meu lugar no mundo,As diferentes formas de organização da família e da comunidade: os vínculos pessoais e as relações de amizade,sim,AF,EI03EO06,"• Identificar aspectos do próprio crescimento por meio do registro das lembranças particulares ou de lembranças dos membros da família e/ou da comunidade.
• Conhecer as histórias da família e da escola e identificar o papel desempenhado por diferentes sujeitos em espaços distintos.
• Identificar mudanças e permanências nas formas de organização familiar.","CG: 1 e 3
CA: 2 e 5
CE: 2 e 4","AC:
- EF01HI01: pode ser desenvolvida junto à AF.
- EF01HI06: pode ser desenvolvida junto à AF.
- EF01HI07: pode ser desenvolvida junto à AF.
AF:
- EF01HI05: pode ser desenvolvida junto à AF.
- EF01GE01: amplia o conhecimento da AF.","É possível realizar uma articulação com a habilidade (EF01GE01), no sentido de complementariedade, uma vez que o componente História dá ênfase aos sujeitos e aos diferentes papéis sociais em espaços distintos (família e escola) e complementares. Já no componente Geografia, a ênfase recai na descrição das características e das condições de organização desses mesmos espaços (moradia e escola) e também, a identificação de semelhanças e diferenças entre esses lugares. Tal abordagem contribui para a construção progressiva de outras noções, como cidadania e sociabilidade. Progressivamente, ao se observar e caracterizar os lugares de vivência e as relações sociais neles estabelecidas, o estudante pode refletir sobre as formas de convívio de diversos grupos sociais e sobre a responsabilidade coletiva da conservação desses espaços, somado ao seu papel como indivíduo integrante do coletivo.
Desse modo, é possível realizar atividades que permitam ao estudante investigar funções e responsabilidades dos profissionais que trabalham na escola e no lugar de vivência e/ou de moradia, a fim de identificar o papel desempenhado por diferentes sujeitos em espaços distintos, permitindo, assim, uma aproximação com o tema contemporâneo transversal trabalho."
EF01HI03,Ensino Fundamental,01,,História,03,"Descrever e distinguir os seus papéis e responsabilidades relacionados à família, à escola e à comunidade.",Mundo pessoal: meu lugar no mundo,As diferentes formas de organização da família e da comunidade: os vínculos pessoais e as relações de amizade,,,,,,,
EF01HI04,Ensino Fundamental,01,,História,04,"Identificar as diferenças entre os variados ambientes em que vive (doméstico, escolar e da comunidade), reconhecendo as especificidades dos hábitos e das regras que os regem.",Mundo pessoal: meu lugar no mundo,A escola e a diversidade do grupo social envolvido,sim,AF,EI03EO04 e EI03EO06,"• Descrever e distinguir os papéis e as responsabilidades relacionados à família, à escola e à comunidade.","CG: 1 e 10
CA: 2
CE: 2","AC:
- EF01GE04: pode ser desenvolvida junto à AF.","Essa habilidade pode ser trabalhada de forma integrada com o componente Geografia, tendo em vista a habilidade (EF01GE04), pois possibilita que o estudante identifique as diferenças entre os variados ambientes em que vive (doméstico, escolar e outros lugares de vivência), reconhecendo as especificidades dos hábitos e das regras que os regem e viabilizam a convivência. É possível desenvolver o tema das responsabilidades do estudante relacionadas à escola e a outros locais (públicos ou privados) que frequenta, a partir do momento que ele reconhece que há normas e regras de convívio existentes nos espaços públicos e/ou coletivos. Atividades de construção coletiva de regras por meio da percepção das relações sociais estabelecidas nos lugares de vivência não só fomentam relações de afetividade, pertencimento, identidade e alteridade, mas se mostram fundamentais para a construção paulatina da cidadania em uma sociedade democrática. Essa habilidade permite aproximação com o tema contemporâneo transversal vida familiar e social.
É possível realizar atividades lúdicas, como brincadeiras e jogos teatrais, que possibilitem ao estudante vivenciar diversos papéis e funções, a fim de reconhecê-los por meio de encenações. Em seguida, sugere-se fazer uma reflexão coletiva acerca da exeperiência e construir um mural (tabela), em que o estudante deverá relacionar, associar, as funções e papéis para a família, escola e comunidade. Essa reflexão é importante para que o estudante possa identificar seu papel e sua responsabilidade para com a escola e com a família, permitindo identificar as mudanças e permanências na organização familiar. Desse modo, é possível uma parceria com o componente Linguagens, sobretudo com teatro. Sugestão de portal sobre jogos teatrais na escola:  https://www.teatronaescola.com/index.php/planeje-sua-aula. (Acesso em: maio 2020.)"
EF01HI05,Ensino Fundamental,01,,História,05,Identificar semelhanças e diferenças entre jogos e brincadeiras atuais e de outras épocas e lugares.,"Mundo pessoal: eu, meu grupo social e meu tempo","A vida em casa, a vida na escola e formas de representação social e espacial: os jogos e brincadeiras como forma de interação social e espacial",sim,AF,"EI03ET01, EI03EF02 e EI03ET05","• Identificar jogos, brincadeiras e brinquedos atuais.
• Conhecer jogos, brincadeiras e brinquedos de diferentes contextos, culturas e espaços.
• Conhecer jogos, brincadeiras e brinquedos por meio do levantamento de memórias de infância dos membros da família.
• Identificar mudanças e permanências nas formas de brincar.
• Vivenciar brincadeiras compartilhadas pelos membros da família e de outros contextos e espaços.","CG: 1 e 3
CA: 2 e 5
CE: 2 e 4","AF:
- EF01GE02: pode ser desenvolvida junto à AF.","Há a possibilidade de integração com a habilidade (EF01GE02), pois esta permite a identificação de semelhanças e diferenças entre jogos e brincadeiras atuais e de outras épocas e lugares. O desenvolvimento conjunto dessas habilidades permite explorar o brincar em diferentes vivências, espacialidades e temporalidades relacionadas a jogos e brincadeiras, manifestações culturais significativas às crianças de todo o mundo e distintas realidades socioeconômicas. Como possibilidade de prática, é possível orientar pesquisas e entrevistas com a família do estudante, para, em seguida, fazer rodas de conversa com a participação de membros da família, em que poderão narrar histórias e memórias de infância, enfatizando a importância de determinadas brincadeiras, jogos e brinquedos. Essas brincadeiras apresentadas podem ser experimentadas pelo estudante e as vivências poderão ser registradas e sistematizadas em cartazes."
EF01HI06,Ensino Fundamental,01,,História,06,Conhecer as histórias da família e da escola e identificar o papel desempenhado por diferentes sujeitos em diferentes espaços.,"Mundo pessoal: eu, meu grupo social e meu tempo",A vida em família: diferentes configurações e vínculos,,,,,,,
EF01HI07,Ensino Fundamental,01,,História,07,Identificar mudanças e permanências nas formas de organização familiar.,"Mundo pessoal: eu, meu grupo social e meu tempo",A vida em família: diferentes configurações e vínculos,,,,,,,
EF01HI08,Ensino Fundamental,01,,História,08,"Reconhecer o significado das comemorações e festas escolares, diferenciando-as das datas festivas comemoradas no âmbito familiar ou da comunidade.","Mundo pessoal: eu, meu grupo social e meu tempo","A escola, sua representação espacial, sua história e seu papel na comunidade",,,,,,,
EF01LP01,Ensino Fundamental,01,,Língua Portuguesa,01,Reconhecer que textos são lidos e escritos da esquerda para a direita e de cima para baixo da página.,Leitura/escuta (compartilhada e autônoma),Protocolos de leitura,,,,,,,
EF01LP02,Ensino Fundamental,01,,Língua Portuguesa,02,"Escrever, espontaneamente ou por ditado, palavras e frases de forma alfabética – usando letras/grafemas que representem fonemas.",Escrita (compartilhada e autônoma),Correspondência fonema-grafema,sim,AF,,"• Escrever palavras espontaneamente ou quando ditadas pelo professor respeitando as regularidades do sistema de escrita convencional (de forma alfabética).
• Escrever frases espontaneamente ou quando ditadas pelo professor de forma alfabética, empregando noções básicas de segmentação.","CE: 2
CA: 2
CG: 1","EF: EF01LP03;  EF01LP05; EF01LP07; EF01LP08; EF01LP10
AC: EF01LP04; EF01LP06;  EF01LP09;  EF01LP13","É foco, pois é uma aprendizagem que deve ser garantida no 1º ano e está relacionada às hipóteses de escrita dos estudantes.  Nessa etapa, é imortante criar situações em que o estudante possa escrever espontânemamente palavras e pequenas frases, trabalhando com textos como listas de nomes, lista de frutas favoritas, parlendas, adivinhas etc. Esse material poderá ajudar na formação das palavras estáveis que servirão de ponto de partida para escrita de outras palavras."
EF01LP03,Ensino Fundamental,01,,Língua Portuguesa,03,"Observar escritas convencionais, comparando-as às suas produções escritas, percebendo semelhanças e diferenças.",Escrita (compartilhada e autônoma),Construção do sistema alfabético/ Convenções da escrita,,,,,,,
EF01LP04,Ensino Fundamental,01,,Língua Portuguesa,04,Distinguir as letras do alfabeto de outros sinais gráficos.,Análise linguística/semiótica (Alfabetização),Conhecimento do alfabeto do português do Brasil,,,,,,,
EF01LP05,Ensino Fundamental,01,,Língua Portuguesa,05,Reconhecer o sistema de escrita alfabética como representação dos sons da fala.,Análise linguística/semiótica (Alfabetização),Construção do sistema alfabético,,,,,,,
EF01LP06,Ensino Fundamental,01,,Língua Portuguesa,06,Segmentar oralmente palavras em sílabas.,Análise linguística/semiótica (Alfabetização),Construção do sistema alfabético e da ortografia,,,,,,,
EF01LP07,Ensino Fundamental,01,,Língua Portuguesa,07,Identificar fonemas e sua representação por letras.,Análise linguística/semiótica (Alfabetização),Construção do sistema alfabético e da ortografia,,,,,,,
EF01LP08,Ensino Fundamental,01,,Língua Portuguesa,08,"Relacionar elementos sonoros (sílabas, fonemas, partes de palavras) com sua representação escrita.",Análise linguística/semiótica (Alfabetização),Construção do sistema alfabético e da ortografia,,,,,,,
EF01LP09,Ensino Fundamental,01,,Língua Portuguesa,09,"Comparar palavras, identificando semelhanças e diferenças entre sons de sílabas iniciais.",Análise linguística/semiótica (Alfabetização),Construção do sistema alfabético e da ortografia,,,,,,,
EF01LP10,Ensino Fundamental,01,,Língua Portuguesa,10,Nomear as letras do alfabeto e recitá-lo na ordem das letras.,Análise linguística/semiótica (Alfabetização),Conhecimento do alfabeto do português do Brasil,,,,,,,
EF01LP11,Ensino Fundamental,01,,Língua Portuguesa,11,"Conhecer, diferenciar e relacionar letras em formato imprensa e cursiva, maiúsculas e minúsculas.",Análise linguística/semiótica (Alfabetização),Conhecimento das diversas grafias do alfabeto/ Acentuação,sim,AF,,"• Reconhecer letras em formato imprensa e cursiva, maiúsculas e minúsculas.
• Comparar e diferenciar letras nos formatos imprensa e cursiva.
• Estabelecer relação entre letras nos formatos imprensa e cursiva, sobretudo na leitura de textos.","CE: 2
CA: 2
CG: 1",AF: EF01LP20; EF01LP24; EF12LP04;  EF12LP08; EF12LP11,"Essa habilidade foca no reconhecimento das letras em formato imprensa e cursiva, maiúsculas e minúsculas, e a relação entre elas. É importante destacar que, tanto nos livros de literatura infantil quanto nos diversos gêneros textuais que circulam dentro e fora da escola, os estudantes lidam com esses diversos formatos das letras. Nas atividades escolares, eles serão apresentados à letra cursiva, maiúscula e minúscula. No entanto, é  preciso apresentar essas letras em diferentes formatos e ensiná-los a traçá-las corretamente, uma vez que podem recorrer a traços incorretos, sobretudo na letra cursiva. Por isso, é importante que o professor aproveite os textos que serão lidos em sala, como as legendas, as manchetes, os textos versificados, para apresentar-lhes os diferentes formatos das letras e auxiliá-los a se apropriar deles para que possam avançar na leitura e na escrita."
EF01LP12,Ensino Fundamental,01,,Língua Portuguesa,12,"Reconhecer a separação das palavras, na escrita, por espaços em branco.",Análise linguística/semiótica (Alfabetização),Segmentação de palavras/Classificação de palavras por número de sílabas,,,,,,,
EF01LP13,Ensino Fundamental,01,,Língua Portuguesa,13,"Comparar palavras, identificando semelhanças e diferenças entre sons de sílabas mediais e finais.",Análise linguística/semiótica (Alfabetização),Construção do sistema alfabético,,,,,,,
EF01LP14,Ensino Fundamental,01,,Língua Portuguesa,14,"Identificar outros sinais no texto além das letras, como pontos finais, de interrogação e exclamação e seus efeitos na entonação.",Análise linguística/semiótica (Alfabetização),Pontuação,,,,,,,
EF01LP15,Ensino Fundamental,01,,Língua Portuguesa,15,Agrupar palavras pelo critério de aproximação de significado (sinonímia) e separar palavras pelo critério de oposição de significado (antonímia).,Análise linguística/semiótica (Alfabetização),Sinonímia e antonímia/Morfologia/Pontuação,sim,AF,,"• Identificar os sentidos de palavras.
• Agrupar palavras pelo critério de aproximação de significado (sinonímia).
• Separar palavras pelo critério de oposição de significado (antonímia).","CE: 2
CA: 1","EF: EF01LP01, EF01LP03 AF: EF12LP01  AC: EF01LP09","O trabalho com o léxico é essencial ao longo de todos os Anos Iniciais do Ensino Fundamental. No 1º ano, ainda que os estudantes não estejam alfabetizados, eles utilizam a linguagem em diferentes situações de comunicação e desempenham práticas de leitura, de escrita e de oralidade diversas. Isso significa que já possuem um bom repertório de palavras e até mesmo de textos. É importante que sejam propostas atividades por meio das quais eles pensem sobre o sentido das palavras, agrupando-as pelo critério de aproximação de significado e separando-as pelo critério de oposição de significado, conforme prevê a habilidade. Não se trata de compreender conceitualmente o que são sinônimos e antônimos de forma isolada, mas de pensar sobre os sentidos das palavras em uso, sobretudo nos textos. Por exemplo, ao escrever uma versão para a parlenda “Suco gelado”, a criança pode escrever (ditando ao professor) uma lista de palavras que substituam a palavra “suco”. Nesse caso, ela terá de pensar, pelo critério de aproximação, em bebidas como leite, água, vitamina, refrigerante, ou ainda, em sentido mais amplo, em comidas, como bolo, doce, torta, pudim. Assim, é importante que essa habilidade seja desenvolvida de forma contextualizada, articulada aos textos que são trabalhados nos diferentes campos de atuação. A escrita de listas de palavras tendo como critério o campo semântico – por exemplo, animais, brinquedos – também são exemplos de atividades que permitem desenvolver essa habilidade."
