codigo,etapa,ano_ou_faixa,componente,eixo,habilidade
EF02CO06,Ensino Fundamental,02,Computação,Cultura Digital,Reconhecer os cuidados com a segurança no uso de dispositivos computacionais.
EF03CO01,Ensino Fundamental,03,Computação,Pensamento Computacional,"Associar os valores ""verdadeiro"" e ""falso"" a sentenças lógicas que dizem respeito a situações do dia a dia, fazendo uso de termos que indicam negação."
EF03CO02,Ensino Fundamental,03,Computação,Pensamento Computacional,"Criar e simular algoritmos representados em linguagem oral, escrita ou pictográfica, que incluam sequências e repetições simples com condição (iterações indefinidas), para resolver problemas de forma independente e em colaboração."
EF03CO03,Ensino Fundamental,03,Computação,Pensamento Computacional,"Aplicar a estratégia de decomposição para resolver problemas complexos, dividindo esse problema em partes menores, resolvendo-as e combinando suas soluções."
EF03CO04,Ensino Fundamental,03,Computação,Mundo Digital,Relacionar o conceito de informação com o de dado.
EF03CO05,Ensino Fundamental,03,Computação,Mundo Digital,Compreender que dados são estruturados em formatos específicos dependendo da informação armazenada.
EF03CO06,Ensino Fundamental,03,Computação,Mundo Digital,"Reconhecer que, para um computador realizar tarefas, ele se comunica com o mundo exterior com o uso de interfaces físicas (dispositivos de entrada e saída)."
EF03CO07,Ensino Fundamental,03,Computação,Cultura Digital,Utilizar diferentes navegadores e ferramentas de busca para pesquisar e acessar informações.
EF03CO08,Ensino Fundamental,03,Computação,Cultura Digital,Usar ferramentas computacionais em situações didáticas para se expressar em diferentes formatos digitais.
EF03CO09,Ensino Fundamental,03,Computação,Cultura Digital,Reconhecer o potencial impacto do compartilhamento de informações pessoais ou de seus pares em meio digital.
EF04CO01,Ensino Fundamental,04,Computação,Pensamento Computacional,"Reconhecer objetos do mundo real ou digital que podem ser representados através de matrizes que estabelecem uma organização na qual cada componente está em uma posição definida por coordenadas, fazendo manipulações simples sobre estas representações."
EF04CO02,Ensino Fundamental,04,Computação,Pensamento Computacional,"Reconhecer objetos do mundo real ou digital que podem ser representados através de registros que estabelecem uma organização na qual cada componente é identificado por um nome, fazendo manipulações sobre estas representações."
EF04CO03,Ensino Fundamental,04,Computação,Pensamento Computacional,"Criar e simular algoritmos representados em linguagem oral, escrita ou pictográfica, que incluam sequências e repetições simples e aninhadas (iterações definidas e indefinidas), para resolver problemas de forma independente e em colaboração."
EF04CO04,Ensino Fundamental,04,Computação,Mundo Digital,"Entender que para guardar, manipular e transmitir dados deve-se codificá-los de alguma forma que seja compreendida pela máquina (formato digital)."
EF04CO05,Ensino Fundamental,04,Computação,Mundo Digital,"Codificar diferentes informações para representação em computador (binária, ASCII, atributos de pixel, como RGB etc.)."
EF04CO06,Ensino Fundamental,04,Computação,Cultura Digital,"Usar diferentes ferramentas computacionais para criação de conteúdo (textos, apresentações, vídeos etc.)."
EF04CO07,Ensino Fundamental,04,Computação,Cultura Digital,"Demonstrar postura ética nas atividades de coleta, transferência, guarda e uso de dados."
EF04CO08,Ensino Fundamental,04,Computação,Cultura Digital,Reconhecer a importância de verificar a confiabilidade das fontes de informações obtidas na Internet.
EF05CO01,Ensino Fundamental,05,Computação,Pensamento Computacional,"Reconhecer objetos do mundo real e digital que podem ser representados através de listas que estabelecem uma organização na qual há um número variável de itens dispostos em sequência, fazendo manipulações simples sobre estas representações."
EF05CO02,Ensino Fundamental,05,Computação,Pensamento Computacional,"Reconhecer objetos do mundo real e digital que podem ser representados através de grafos que estabelecem uma organização com uma quantidade variável de vértices conectados por arestas, fazendo manipulações simples sobre estas representações."
EF05CO03,Ensino Fundamental,05,Computação,Pensamento Computacional,"Realizar operações de negação, conjunção e disjunção sobre sentenças lógicas e valores ""verdadeiro"" e ""falso""."
EF05CO04,Ensino Fundamental,05,Computação,Pensamento Computacional,"Criar e simular algoritmos representados em linguagem oral, escrita ou pictográfica, que incluam sequências, repetições e seleções condicionais para resolver problemas de forma independente e em colaboração."
EF05CO05,Ensino Fundamental,05,Computação,Mundo Digital,"Identificar os componentes principais de um computador (dispositivos de entrada/saída, processadores e armazenamento)."
EF05CO06,Ensino Fundamental,05,Computação,Mundo Digital,Reconhecer que os dados podem ser armazenados em um dispositivo local ou remoto.
EF05CO07,Ensino Fundamental,05,Computação,Mundo Digital,Reconhecer a necessidade de um sistema operacional para a execução de programas e gerenciamento do hardware.
EF05CO08,Ensino Fundamental,05,Computação,Cultura Digital,Acessar as informações na Internet de forma crítica para distinguir os conteúdos confiáveis de não confiáveis.
EF05CO09,Ensino Fundamental,05,Computação,Cultura Digital,Usar informações considerando aplicações e limites dos direitos autorais em diferentes mídias digitais.
EF05CO10,Ensino Fundamental,05,Computação,Cultura Digital,Expressar-se crítica e criativamente na compreensão das mudanças tecnológicas no mundo do trabalho e sobre a evolução da sociedade.
EF05CO11,Ensino Fundamental,05,Computação,Cultura Digital,Identificar a adequação de diferentes tecnologias computacionais na resolução de problemas.
EF15CO01,Ensino Fundamental,1-5 (Anos Iniciais),Computação,Pensamento Computacional,"Identificar as principais formas de organizar e representar a informação de maneira estruturada (matrizes, registros, listas e grafos) ou não estruturada (números, palavras, valores verdade)."
EF15CO02,Ensino Fundamental,1-5 (Anos Iniciais),Computação,Pensamento Computacional,"Construir e simular algoritmos, de forma independente ou em colaboração, que resolvam problemas simples e do cotidiano com uso de sequências, seleções condicionais e repetições de instruções."
EF15CO03,Ensino Fundamental,1-5 (Anos Iniciais),Computação,Pensamento Computacional,"Realizar operações de negação, conjunção e disjunção sobre sentenças lógicas e valores ""verdadeiro"" e ""falso""."
EF15CO04,Ensino Fundamental,1-5 (Anos Iniciais),Computação,Pensamento Computacional,"Aplicar a estratégia de decomposição para resolver problemas complexos, dividindo esse problema em partes menores, resolvendo-as e combinando suas soluções."
EF15CO05,Ensino Fundamental,1-5 (Anos Iniciais),Computação,Mundo Digital,"Codificar a informação de diferentes formas, entendendo a importância desta codificação para o armazenamento, manipulação e transmissão em dispositivos computacionais."
EF15CO06,Ensino Fundamental,1-5 (Anos Iniciais),Computação,Mundo Digital,"Conhecer os componentes básicos de dispositivos computacionais, entendendo os princípios de seu funcionamento."
EF15CO07,Ensino Fundamental,1-5 (Anos Iniciais),Computação,Mundo Digital,Conhecer o conceito de Sistema Operacional e sua importância na integração entre software e hardware.
EF15CO08,Ensino Fundamental,1-5 (Anos Iniciais),Computação,Cultura Digital,"Reconhecer e utilizar tecnologias computacionais para pesquisar e acessar informações, expressar-se crítica e criativamente e resolver problemas."
EF15CO09,Ensino Fundamental,1-5 (Anos Iniciais),Computação,Cultura Digital,"Entender que as tecnologias devem ser utilizadas de maneira segura, ética e responsável, respeitando direitos autorais, de imagem e as leis vigentes."
EF06CO01,Ensino Fundamental,06,Computação,Pensamento Computacional,"Classificar informações, agrupando-as em coleções (conjuntos) e associando cada coleção a um ""tipo de dados"""
EF06CO02,Ensino Fundamental,06,Computação,Pensamento Computacional,"Elaborar algoritmos que envolvam instruções sequenciais, de repetição e de seleção usando uma linguagem de programação."
EF06CO03,Ensino Fundamental,06,Computação,Pensamento Computacional,"Descrever com precisão a solução de um problema, construindo o programa que implementa a solução descrita."
EF06CO04,Ensino Fundamental,06,Computação,Pensamento Computacional,Construir soluções de problemas usando a técnica de decomposição e automatizar tais soluções usando uma linguagem de programação.
EF06CO05,Ensino Fundamental,06,Computação,Pensamento Computacional,"Identificar os recursos ou insumos necessários (entradas) para a resolução de problemas, bem como os resultados esperados (saídas), determinando os respectivos tipos de dados, e estabelecendo a definição de problema como uma relação entre entrada e saída."
EF06CO06,Ensino Fundamental,06,Computação,Pensamento Computacional,"Comparar diferentes casos particulares (instâncias) de um mesmo problema, identificando as semelhanças e diferenças entre eles, e criar um algoritmo para resolver todos, fazendo uso de variáveis (parâmetros) para permitir o tratamento de todos os casos de forma genérica."
EF06CO07,Ensino Fundamental,06,Computação,Mundo Digital,"Entender o processo de transmissão de dados, como a informação é quebrada em pedaços, transmitida em pacotes através de múltiplos equipamentos, e reconstruída no destino."
EF06CO08,Ensino Fundamental,06,Computação,Mundo Digital,"Compreender e utilizar diferentes formas de armazenar, manipular, compactar e recuperar arquivos, documentos e metadados."
EF06CO09,Ensino Fundamental,06,Computação,Cultura Digital,"Apresentar conduta e linguagem apropriadas ao se comunicar em ambiente digital, considerando a ética e o respeito."
EF06CO10,Ensino Fundamental,06,Computação,Cultura Digital,"Analisar o consumo de tecnologia na sociedade, compreendendo criticamente o caminho da produção dos recursos bem como aspectos ligados à obsolescência e a sustentabilidade."
EF07CO01,Ensino Fundamental,07,Computação,Pensamento Computacional,Criar soluções de problemas para os quais seja adequado o uso de registros e matrizes unidimensionais para descrever suas informações e automatizá-las usando uma linguagem de programação.
EF07CO02,Ensino Fundamental,07,Computação,Pensamento Computacional,"Analisar programas para detectar e remover erros, ampliando a confiança na sua correção."
EF07CO03,Ensino Fundamental,07,Computação,Pensamento Computacional,"Construir soluções computacionais de problemas de diferentes áreas do conhecimento, de forma individual e colaborativa, selecionando as estruturas de dados e técnicas adequadas, aperfeiçoando e articulando saberes escolares."
EF07CO04,Ensino Fundamental,07,Computação,Pensamento Computacional,Explorar propriedades básicas de grafos.
EF07CO05,Ensino Fundamental,07,Computação,Pensamento Computacional,Criar algoritmos fazendo uso da decomposição e do reúso no processo de solução de forma colaborativa e cooperativa e automatizá-los usando uma linguagem de programação.
EF07CO06,Ensino Fundamental,07,Computação,Mundo Digital,Compreender o papel de protocolos para a transmissão de dados.
EF07CO07,Ensino Fundamental,07,Computação,Mundo Digital,Identificar problemas de segurança cibernética e experimentar formas de proteção.
EF07CO08,Ensino Fundamental,07,Computação,Cultura Digital,Demonstrar empatia sobre opiniões divergentes na web.
EF07CO09,Ensino Fundamental,07,Computação,Cultura Digital,Reconhecer e debater sobre cyberbullying.
EF07CO10,Ensino Fundamental,07,Computação,Cultura Digital,"Identificar os impactos ambientais do descarte de peças de computadores e eletrônicos, bem como sua relação com a sustentabilidade."
EF07CO11,Ensino Fundamental,07,Computação,Cultura Digital,"Criar, documentar e publicar, de forma individual ou colaborativa, produtos (vídeos, podcasts, web sites) usando recursos de tecnologia."
EF08CO01,Ensino Fundamental,08,Computação,Pensamento Computacional,Construir soluções de problemas usando a técnica de recursão e automatizar tais soluções usando uma linguagem de programação.
EF08CO02,Ensino Fundamental,08,Computação,Pensamento Computacional,"Criar soluções de problemas para os quais seja adequado o uso de listas para descrever suas informações e automatizá-las usando uma linguagem de programação, empregando ou não a recursão como uma técnica de resolver o problema."
EF08CO03,Ensino Fundamental,08,Computação,Pensamento Computacional,Utilizar algoritmos clássicos de manipulação sobre listas.
EF08CO04,Ensino Fundamental,08,Computação,Pensamento Computacional,"Construir soluções computacionais de problemas de diferentes áreas do conhecimento, de forma individual e colaborativa, selecionando as estruturas de dados e técnicas adequadas, aperfeiçoando e articulando saberes escolares."
EF08CO05,Ensino Fundamental,08,Computação,Mundo Digital,"Compreender os conceitos de paralelismo, concorrência e armazenamento/processamento distribuídos."
EF08CO06,Ensino Fundamental,08,Computação,Mundo Digital,Entender como é a estrutura e funcionamento da internet.
EF08CO07,Ensino Fundamental,08,Computação,Cultura Digital,"Compartilhar informações por meio de redes sociais, compreendendo a sua dinâmica de funcionamento, de forma responsável e avaliando sua confiabilidade, considerando o respeito e a ética."
EF08CO08,Ensino Fundamental,08,Computação,Cultura Digital,Distinguir os tipos de dados pessoais que são solicitados em espaços digitais e os riscos associados.
EF08CO09,Ensino Fundamental,08,Computação,Cultura Digital,Analisar criticamente as políticas de termos de uso das redes sociais e demais plataformas.
EF08CO10,Ensino Fundamental,08,Computação,Cultura Digital,Discutir questões sobre segurança e privacidade relacionadas ao uso dos ambientes virtuais.
EF08CO11,Ensino Fundamental,08,Computação,Cultura Digital,"Avaliar a precisão, relevância, adequação, abrangência e vieses que ocorrem em fontes de informação eletrônica."
EF09CO01,Ensino Fundamental,09,Computação,Pensamento Computacional,Criar soluções de problemas para os quais seja adequado o uso de árvores e grafos para descrever suas informações e automatizá-las usando uma linguagem de programação.
EF09CO02,Ensino Fundamental,09,Computação,Pensamento Computacional,"Construir soluções computacionais de problemas de diferentes áreas do conhecimento, de forma individual e colaborativa, selecionando as estruturas de dados e técnicas adequadas, aperfeiçoando e articulando saberes escolares."
EF09CO03,Ensino Fundamental,09,Computação,Pensamento Computacional,Usar autômatos para descrever comportamentos de forma abstrata automatizando-os através de uma linguagem de programação baseada em eventos.
EF09CO04,Ensino Fundamental,09,Computação,Mundo Digital,Compreender o funcionamento de malwares e outros ataques cibernéticos.
EF09CO05,Ensino Fundamental,09,Computação,Mundo Digital,Analisar técnicas de criptografia para armazenamento e transmissão de dados.
EF09CO06,Ensino Fundamental,09,Computação,Cultura Digital,"Analisar problemas sociais de sua cidade e estado a partir de ambientes digitais, propondo soluções."
EF09CO07,Ensino Fundamental,09,Computação,Cultura Digital,"Avaliar aplicações e implicações políticas, socioambientais e culturais das tecnologias digitais para propor alternativas aos desafios do mundo contemporâneo, incluindo aqueles relativos ao mundo do trabalho."
EF09CO08,Ensino Fundamental,09,Computação,Cultura Digital,"Discutir como a distribuição desigual de recursos de computação em uma economia global levanta questões de equidade, acesso e poder."
EF09CO09,Ensino Fundamental,09,Computação,Cultura Digital,"Criar ou utilizar conteúdo em meio digital, compreendendo questões éticas relacionadas a direitos autorais e de uso de imagem."
EF09CO10,Ensino Fundamental,09,Computação,Cultura Digital,"Avaliar a veracidade, credibilidade e relevância da informação em seus diferentes formatos, sendo capaz de identificar o propósito pelo qual foi disseminada."
EF69CO01,Ensino Fundamental,6-9 (Anos Finais),Computação,Pensamento Computacional,"Classificar informações, agrupando-as em coleções (conjuntos) e associando cada coleção a um ""tipo de dado""."
EF69CO02,Ensino Fundamental,6-9 (Anos Finais),Computação,Pensamento Computacional,"Elaborar algoritmos que envolvam instruções sequenciais, de repetição e de seleção usando uma linguagem de programação."
EF69CO03,Ensino Fundamental,6-9 (Anos Finais),Computação,Pensamento Computacional,"Descrever com precisão a solução de um problema, construindo o programa que implementa a solução descrita."
EF69CO04,Ensino Fundamental,6-9 (Anos Finais),Computação,Pensamento Computacional,Construir soluções de problemas usando a técnica de decomposição e automatizar tais soluções usando uma linguagem de programação.
EF69CO05,Ensino Fundamental,6-9 (Anos Finais),Computação,Pensamento Computacional,"Identificar os recursos ou insumos necessários (entradas) para a resolução de problemas, bem como os resultados esperados (saídas), determinando os respectivos tipos de dados, e estabelecendo a definição de problema como uma relação entre entrada e saída."
EF69CO06,Ensino Fundamental,6-9 (Anos Finais),Computação,Pensamento Computacional,"Comparar diferentes casos particulares (instâncias) de um mesmo problema, identificando as semelhanças e diferenças entre eles, e criar um algoritmo para resolver todos, fazendo uso de variáveis (parâmetros) para permitir o tratamento de todos os casos de forma genérica."
EF69CO07,Ensino Fundamental,6-9 (Anos Finais),Computação,Mundo Digital,"Entender o processo de transmissão de dados, como a informação é quebrada em pedaços, transmitida em pacotes através de múltiplos equipamentos, e reconstruída no destino."
EF69CO08,Ensino Fundamental,6-9 (Anos Finais),Computação,Mundo Digital,"Compreender e utilizar diferentes formas de armazenar, manipular, compactar e recuperar arquivos, documentos e metadados."
EF69CO09,Ensino Fundamental,6-9 (Anos Finais),Computação,Mundo Digital,"Compreender os conceitos de paralelismo, concorrência e armazenamento/processamento distribuídos."
EF69CO10,Ensino Fundamental,6-9 (Anos Finais),Computação,Mundo Digital,Entender como é a estrutura e funcionamento da internet.
EF69CO11,Ensino Fundamental,6-9 (Anos Finais),Computação,Cultura Digital,"Apresentar conduta e linguagem apropriadas ao se comunicar em ambiente digital, considerando a ética e o respeito."
EF69CO12,Ensino Fundamental,6-9 (Anos Finais),Computação,Cultura Digital,"Analisar o consumo de tecnologia na sociedade, compreendendo criticamente o caminho da produção dos recursos bem como aspectos ligados à obsolescência e a sustentabilidade."
EM13CO01,Ensino Médio,1-3,Computação,,Explorar e construir a solução de problemas por meio da reutilização de partes de soluções existentes.
EM13CO02,Ensino Médio,1-3,Computação,,"Explorar e construir a solução de problemas por meio de refinamentos, utilizando diversos níveis de abstração desde a especificação até a implementação."
EM13CO03,Ensino Médio,1-3,Computação,,"Identificar o comportamento dos algoritmos no que diz respeito ao consumo de recursos como tempo de execução, espaço de memória e energia, entre outros."
EM13CO04,Ensino Médio,1-3,Computação,,"Reconhecer o conceito de metaprogramação como uma forma de generalização na construção de programas, permitindo que algoritmos sejam entrada ou saída para outros algoritmos."
EM13CO05,Ensino Médio,1-3,Computação,,"Identificar os limites da Computação para diferenciar o que pode ou não ser automatizado, buscando uma compreensão mais ampla dos limites dos processos mentais envolvidos na resolução de problemas."
EM13CO06,Ensino Médio,1-3,Computação,,Avaliar software levando em consideração diferentes características e métricas associadas.
EM13CO07,Ensino Médio,1-3,Computação,,"Compreender as diferentes tecnologias, bem como equipamentos, protocolos e serviços envolvidos no funcionamento de redes de computadores, identificando suas possibilidades de escala e confiabilidade."
EM13CO08,Ensino Médio,1-3,Computação,,"Entender como mudanças na tecnologia afetam a segurança, incluindo novas maneiras de preservar sua privacidade e dados pessoais on-line, reportando suspeitas e buscando ajuda em situações de risco."
EM13CO09,Ensino Médio,1-3,Computação,,"Identificar tecnologias digitais, sua presença e formas de uso, nas diferentes atividades no mundo do trabalho."
EM13CO10,Ensino Médio,1-3,Computação,,"Conhecer os fundamentos da Inteligência Artificial, comparando-a com a inteligência humana, analisando suas potencialidades, riscos e limites."
EM13CO11,Ensino Médio,1-3,Computação,,"Criar e explorar modelos computacionais simples para simular e fazer previsões, identificando sua importância no desenvolvimento científico."
EM13CO12,Ensino Médio,1-3,Computação,,"Produzir, analisar, gerir e compartilhar informações a partir de dados, utilizando princípios de ciência de dados."
EM13CO13,Ensino Médio,1-3,Computação,,Analisar e utilizar as diferentes formas de representação e consulta a dados em formato digital para pesquisas científicas.
EM13CO14,Ensino Médio,1-3,Computação,,"Avaliar a confiabilidade das informações encontradas em meio digital, investigando seus modos de construção e considerando a autoria, a estrutura e o propósito da mensagem."
EM13CO15,Ensino Médio,1-3,Computação,,"Analisar a interação entre usuários e artefatos computacionais, abordando aspectos da experiência do usuário e promovendo reflexão sobre a qualidade do uso dos artefatos nas esferas do trabalho, do lazer e do estudo."
EM13CO16,Ensino Médio,1-3,Computação,,"Desenvolver projetos com robótica, utilizando artefatos físicos ou simuladores."
EM13CO17,Ensino Médio,1-3,Computação,,"Construir redes virtuais de interação e colaboração, favorecendo o desenvolvimento de projetos de forma segura, legal e ética."
EM13CO18,Ensino Médio,1-3,Computação,,"Planejar e gerenciar projetos integrados às áreas de conhecimento de forma colaborativa, solucionando problemas, usando diversos artefatos computacionais."
EM13CO19,Ensino Médio,1-3,Computação,,"Expor, argumentar e negociar propostas, produtos e serviços, utilizando diferentes mídias e ferramentas digitais."
EM13CO20,Ensino Médio,1-3,Computação,,"Criar conteúdos, disponibilizando-os em ambientes virtuais para publicação e compartilhamento, avaliando a confiabilidade e as consequências da disseminação dessas informações."
EM13CO21,Ensino Médio,1-3,Computação,,"Comunicar ideias complexas de forma clara por meio de objetos digitais como mapas conceituais, infográficos, hipertextos e outros."
EM13CO22,Ensino Médio,1-3,Computação,,"Produzir e publicar conteúdo como textos, imagens, áudios, vídeos e suas associações, bem como ferramentas para sua integração, organização e apresentação, utilizando diferentes mídias digitais."
EM13CO23,Ensino Médio,1-3,Computação,,"Analisar criticamente as experiências em comunidades virtuais e as relações advindas da interação e comunicação com outras pessoas, bem como seus impactos na sociedade."
EM13CO24,Ensino Médio,1-3,Computação,,Identificar e reconhecer como as redes sociais e artefatos computacionais em geral interferem na saúde física e mental de seus usuários.
EM13CO25,Ensino Médio,1-3,Computação,,"Dialogar em ambientes virtuais com segurança e respeito às diferenças culturais e pessoais, reconhecendo e denunciando atitudes abusivas."
EM13CO26,Ensino Médio,1-3,Computação,,"Aplicar os conceitos e pressupostos do direito digital em sua conduta e experiências com o cotidiano da cultura digital, bem como na produção e uso de artefatos computacionais."
